Designator,Mid X,Mid Y,Rotation,Layer
C4,97.0,-41.5,0.0,top
C5,93.11,-45.0,90.0,top
C7,102.4,-49.8875,90.0,top
D1,90.5,-46.6125,270.0,top
J1,97.5,-37.9,180.0,top
J2,97.625,-60.475,0.0,top
L2,93.7,-54.4,0.0,top
R5,105.8,-51.8,90.0,top
R6,105.8,-48.6,90.0,top
U1,96.8,-46.7,90.0,top
